Message	Context	EN_English	ES_Spanish	FR_French	...
001	DRE freshly loaded; no user actions yet	"Input desired parameters, select a point on the map, zoom to desired display area, and click 'Display Map'"			
002	"Display Map" selected; missing initial parameters	"Specify model, variable, date, and time before attempting to 'Display Map'."			
003	"Plot" selected; missing initial parameters	"Specify model, variable, date, and time before attempting to 'Plot'."			
004	Point selected	"Point selected. Latitude: *lat*; Longitude: *lon*"			
005	Product/Model selected	"Product/Model selected. Range limits: *NLDAS*: 'North America', *GLDAS*: 'All regions available', etc."			
006	Variable selected	"Variable selected."			
007	Date selected	"Date selected."			
008	Time selected	"Time selected."			
009	No point selected (parameters correctly selected)	"Select a point on the map"			
010	No data for selected date/time. 	"Date and/or time is out of range."			
011	Map successfully displayed	"Map successfully displayed. Dataset: *Product/Model*; Variable: *variable*; Date: *date*; Time: *time*; Area: *lat/lon grid bounds*"			
012	"Plot one variable" selected	"Input desired parameters, select a point on the map, and click 'Plot'"			
013	"Plot one variable" selected; no start/end date selected. 	"Input start and end date to plot one variable." 			
014	"Plot one variable" selected; no data for selected dates.	"No data for selected dates." 			
015	"Compare two variables" selected	"Input desired parameters, select a point on the map, and click 'Plot'"			
016	"Compare two variables" selected; missing parameters	"Specify second model, second variable, plot start date, and plot end date." 			
017	"Compare two variables" selected; no data for selected dates	"No data for selected dates." 			
018	"Year-on-year changes" selected	"Input desired parameters, select a point on the map, and click 'Plot'"			
019	"Year-on-year changes" selected; no year selected	"Specify desired year(s) to compare."			
020	"Year-on-year changes" selected; no data for selected year(s)	"At least one year selected is out of range for the desired variable."			
021	"Drawing Layer" selected	"Slide opacity bar to change visibility of drawn points or maps." 			
022	"Basemap" selected	"Slide opacity bar to change visibility of basemap."			
023	Menu bar hidden	"Select menu button (3-bars) to maximize map options."			
024	Map or plot loading	"Processing request" 			
025					